PolicyholderId,Name,Email,Phone,State,TenureYears,PriorClaimsCount
PH-00001,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,OH,0,1
PH-00002,Meredith Barnes,zlawrence@example.org,001-626-254-2351x16155,MI,7,0
PH-00003,Kimberly Dudley,smiller@example.net,+1-659-931-0341x316,OH,17,0
PH-00004,Holly Wood,elizabethmiles@example.net,+1-219-528-3276x4835,TX,1,0
PH-00005,Renee Morales,clarksherri@example.net,837-767-2423x88496,MI,7,1
PH-00006,Zachary Hicks,camposmichelle@example.org,+1-326-691-6697x8480,IL,17,0
PH-00007,Gina Carter,shawnmckay@example.net,282-781-4893x252,FL,13,0
PH-00008,Brian Cox DVM,john39@example.org,671-882-2782,AZ,8,2
PH-00009,Tanya Campos,jenniferross@example.net,+1-557-587-1331x5098,IL,5,1
PH-00010,Michael Brown,whiteheadmichele@example.org,334.373.8299x73763,MO,8,0
PH-00011,Heather Jenkins,nuneztracey@example.org,4658133387,MO,3,0
PH-00012,Joel Baxter,ramosmichelle@example.net,908-501-3267,OH,11,2
PH-00013,Stephanie Martin,gallowayjoseph@example.com,268-272-3430x9805,AZ,8,2
PH-00014,Kathryn Farrell,brianromero@example.org,291-336-1939,GA,17,0
PH-00015,Kevin Mills,james53@example.com,(524)675-1079x9118,TX,2,1
PH-00016,Gregory Jones,mikemoore@example.net,001-449-680-8412x411,AZ,11,1
PH-00017,Daniel Cooper,william40@example.org,+1-264-300-5242x7868,OH,1,1
PH-00018,Stephen Mckee,davenportbrandi@example.org,(420)545-0533x15869,WI,2,2
PH-00019,Vanessa Cochran,vjohnson@example.com,(534)221-6073x37543,OH,12,0
PH-00020,Jennifer Ramirez,rasmussenjoshua@example.net,768.750.1429x40196,MO,5,0
PH-00021,William Wilson,jonathanfletcher@example.org,783.856.1595x14846,MI,8,1
PH-00022,Kristen Lee,lbyrd@example.net,001-746-980-4436,OH,19,1
PH-00023,Michael Dixon,donnacampbell@example.net,+1-395-913-4332x0037,FL,7,0
PH-00024,Mark Lee,psnyder@example.org,+1-401-963-2870x8317,TX,8,4
PH-00025,Victoria Larson,usalazar@example.net,(387)627-7434x87347,FL,7,1
PH-00026,George Orozco,taylorjesse@example.net,(231)566-5876,IL,7,2
